TASK_ID_PK,ORIGINAL_QUESTION_NUMBER,QUESTION_TEXT,QUESTION_CLASS,TREATMENT_PHRASE,TREATMENT_DEF,TREATMENT_SOURCE,DEF_MED_URL,HEALTH_ISSUE_PHRASE,HEALTH_ISSUE_DEF,HEALTH_ISSUE_SOURCE,DEF_HEALTH_ISSUE_URL
T1,Q8,Do antioxidants help female subfertility?,Unhelpful,antioxidants,a substance (as beta-carotene or vitamin C) that is added to food and other products to prevent harmful chemical reactions in which oxygen is combined with other substances,Merriam-Webster,http://www.merriam-webster.com/dictionary/antioxidants,subfertility, the condition of being less than normally fertile though still capable of effecting fertilization,Merriam-Webster,http://www.merriam-webster.com/medical/subfertility 
T2,Q5,Do benzodiazepines help alcohol withdrawal?,Helpful,benzodiazepines,any of a group of aromatic lipophilic amines (as diazepam and chlordiazepoxide) used especially as tranquilizers,Merriam-Webster,http://www.merriam-webster.com/dictionary/benzodiazepine,alcohol withdrawal,"Alcohol withdrawal can occur when alcohol use has been heavy and prolonged and is then stopped or greatly reduced. Withdrawal symptoms may include nausea, sweating and shaking -- when you don't drink, or drinking to avoid these symptoms.",Mayo Clinic,http://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/basics/symptoms/con-20020866
T3,Q6,Do insoles help back pain?,Unhelpful,insoles,a thin piece of material that you put at the bottom of the inside of a shoe for comfort,Merriam-Webster,http://www.merriam-webster.com/dictionary/insoles,back pain,"The spine is a column of bones (vertebrae) held together by muscles, tendons and ligaments and cushioned by shock-absorbing disks. A problem in any part of your spine can cause back pain.",Mayo Clinic,http://www.mayoclinic.org/symptoms/back-pain/basics/definition/sym-20050878
T4,Q7,Do probiotics help treat eczema?,Unhelpful,probiotics,Probiotics are a preparation (as a dietary supplement) containing live bacteria (as lactobacilli) that is taken orally to restore beneficial bacteria to the body.,Merriam-Webster,http://www.merriam-webster.com/dictionary/probiotics,eczema,"a skin disease that causes areas of the skin to become red, rough, and itchy",Merriam-Webster,http://www.merriam-webster.com/dictionary/eczema
T5,Q4,Do sealants prevent dental decay in the permanent teeth?,Helpful,sealants,"A sealant is a protective plastic coating that's applied to the chewing surface of back teeth, sealing off the grooves and crannies that tend to collect food.",Mayo Clinic,http://www.mayoclinic.org/diseases-conditions/cavities/basics/prevention/con-20030076,dental decay,"Cavities, also called tooth decay or caries, are caused by a combination of factors, including bacteria in your mouth, frequent snacking, sipping sugary drinks, and not cleaning your teeth well.",Mayo Clinic,http://www.mayoclinic.org/diseases-conditions/cavities/basics/definition/con-20030076
T6,Q1,Does caffeine help asthma?,Helpful,caffeine,Caffeine is a substance that is found especially in coffee and tea and that makes you feel more awake,Merriam-Webster,http://www.merriam-webster.com/dictionary/caffeine,asthma,"Asthma is a condition in which your airways narrow and swell and produce extra mucus. This can make breathing difficult and trigger coughing, wheezing and shortness of breath.",Mayo Clinic,http://www.mayoclinic.org/diseases-conditions/asthma/basics/definition/con-20026992
T7,Q9,Does cinnamon help diabetes?,Unhelpful,cinnamon,Cinnamon is a sweet spice made from the bark of an Asian tree and used in cooking and baking.,Merriam-Webster,http://www.merriam-webster.com/dictionary/cinnamon,diabetes,Diabetes is a serious disease in which the body cannot properly control the amount of sugar in your blood because it does not have enough insulin,Merriam-Webster,http://www.merriam-webster.com/dictionary/diabetes
T8,Q2,Does melatonin help treat and prevent jet lag?,Helpful,melatonin,"Melatonin is a hormone produced in the brain by the pineal gland from the amino acid tryptophan. The production and release of melatonin are stimulated by darkness and decreased by light, suggesting that melatonin is involved in circadian rhythm (the internal body clock) and regulation of diverse body functions. Levels of melatonin in the blood are highest prior to bedtime.",Mayo Clinic,http://www.mayoclinic.org/drugs-supplements/melatonin/background/hrb-20059770,jet lag,"Jet lag, also called jet lag disorder, is a temporary sleep problem that can affect anyone who quickly travels across multiple time zones.",Mayo Clinic,http://www.mayoclinic.org/diseases-conditions/jet-lag/basics/definition/con-20032662
T9,MISSING,Does surgery help obesity?,Helpful,surgery,a branch of medicine concerned with diseases and conditions requiring or amenable to operative or manual procedures,Merriam-Webster,https://www.merriam-webster.com/dictionary/surgery,obesity,"Obesity is a complex disorder involving an excessive amount of body fat. Obesity isn't just a cosmetic concern. It increases your risk of diseases and health problems, such as heart disease, diabetes and high blood pressure.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/obesity/symptoms-causes/syc-20375742
T10,MISSING,Does traction help low back pain?,Unhelpful,traction,a pulling force exerted on a skeletal structure (as in a fracture) by means of a special device,Merriam-Webster,https://www.merriam-webster.com/dictionary/traction,back pain," The spine is a column of bones (vertebrae) held together by muscles, tendons and ligaments and cushioned by shock-absorbing disks. A problem in any part of your spine can cause back pain.",Mayo Clinic,http://www.mayoclinic.org/symptoms/back-pain/basics/definition/sym-20050878
Practice-1,Q10,Do cranberries prevent urinary tract infections?,Unhelpful,cranberries,"Cranberries is a small, dark red berry or the plant that produces it",Merriam-Webster,http://www.merriam-webster.com/dictionary/cranberries,urinary tract infections,"A urinary tract infection (UTI) is an infection in any part of your urinary system -- your kidneys, ureters, bladder and urethra. Most infections involve the lower urinary tract -- the bladder and the urethra.",Mayo Clinic,http://www.mayoclinic.org/diseases-conditions/urinary-tract-infection/basics/definition/con-20037892
Practice-2,Q3,Does Echinacea help treat and prevent the common cold?,Helpful,Echinacea,"the dried rhizome, roots, or other part of any of three composite herbs (Echinacea angustifolia, E. pallida, and E. purpurea) that were formerly listed in the United States Pharmacopeia, that are now used primarily in dietary supplements and herbal remedies, and that are held to stimulate the immune system.",Merriam-Webster,http://www.merriam-webster.com/dictionary/Echinacea,common cold,"an acute disease of the upper respiratory tract that is marked by inflammation of the mucous membranes of the nose, throat, eyes, and eustachian tubes and by a watery then purulent discharge and is caused by any of several viruses (as a rhinovirus or an adenovirus).",Merriam-Webster,http://www.merriam-webster.com/dictionary/common%20cold